Borough,Postal Code,Neighbourhood
Central Toronto,M4N,Lawrence Park
Central Toronto,M4P,Davisville North
Central Toronto,M4R,"North Toronto West, Lawrence Park"
Central Toronto,M4S,Davisville
Central Toronto,M4T,"Moore Park, Summerhill East"
Central Toronto,M4V,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park"
Central Toronto,M5N,Roselawn
Central Toronto,M5P,"Forest Hill North & West, Forest Hill Road Park"
Central Toronto,M5R,"The Annex, North Midtown, Yorkville"
Downtown Toronto,M4W,Rosedale
Downtown Toronto,M4X,"St. James Town, Cabbagetown"
Downtown Toronto,M4Y,Church and Wellesley
Downtown Toronto,M5A,"Regent Park, Harbourfront"
Downtown Toronto,M5B,"Garden District, Ryerson"
Downtown Toronto,M5C,St. James Town
Downtown Toronto,M5E,Berczy Park
Downtown Toronto,M5G,Central Bay Street
Downtown Toronto,M5H,"Richmond, Adelaide, King"
Downtown Toronto,M5J,"Harbourfront East, Union Station, Toronto Islands"
Downtown Toronto,M5K,"Toronto Dominion Centre, Design Exchange"
Downtown Toronto,M5L,"Commerce Court, Victoria Hotel"
Downtown Toronto,M5S,"University of Toronto, Harbord"
Downtown Toronto,M5T,"Kensington Market, Chinatown, Grange Park"
Downtown Toronto,M5V,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport"
Downtown Toronto,M5W,Stn A PO Boxes
Downtown Toronto,M5X,"First Canadian Place, Underground city"
Downtown Toronto,M6G,Christie
Downtown Toronto,M7A,"Queen's Park, Ontario Provincial Government"
East Toronto,M4E,The Beaches
East Toronto,M4K,"The Danforth West, Riverdale"
East Toronto,M4L,"India Bazaar, The Beaches West"
East Toronto,M4M,Studio District
East Toronto,M7Y,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto"
East York,M4B,"Parkview Hill, Woodbine Gardens"
East York,M4C,Woodbine Heights
East York,M4G,Leaside
East York,M4H,Thorncliffe Park
East York,M4J,"East Toronto, Broadview North (Old East York)"
Etobicoke,M8V,"New Toronto, Mimico South, Humber Bay Shores"
Etobicoke,M8W,"Alderwood, Long Branch"
Etobicoke,M8X,"The Kingsway, Montgomery Road, Old Mill North"
Etobicoke,M8Y,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East"
Etobicoke,M8Z,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West"
Etobicoke,M9A,"Islington Avenue, Humber Valley Village"
Etobicoke,M9B,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale"
Etobicoke,M9C,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood"
Etobicoke,M9P,Westmount
Etobicoke,M9R,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens"
Etobicoke,M9V,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
Etobicoke,M9W,"Northwest, West Humber - Clairville"
Mississauga,M7R,Canada Post Gateway Processing Centre
North York,M2H,Hillcrest Village
North York,M2J,"Fairview, Henry Farm, Oriole"
North York,M2K,Bayview Village
North York,M2L,"York Mills, Silver Hills"
North York,M2M,"Willowdale, Newtonbrook"
North York,M2N,"Willowdale, Willowdale East"
North York,M2P,York Mills West
North York,M2R,"Willowdale, Willowdale West"
North York,M3A,Parkwoods
North York,M3B,Don Mills
North York,M3C,Don Mills
North York,M3H,"Bathurst Manor, Wilson Heights, Downsview North"
North York,M3J,"Northwood Park, York University"
North York,M3K,Downsview
North York,M3L,Downsview
North York,M3M,Downsview
North York,M3N,Downsview
North York,M4A,Victoria Village
North York,M5M,"Bedford Park, Lawrence Manor East"
North York,M6A,"Lawrence Manor, Lawrence Heights"
North York,M6B,Glencairn
North York,M6L,"North Park, Maple Leaf Park, Upwood Park"
North York,M9L,Humber Summit
North York,M9M,"Humberlea, Emery"
Scarborough,M1B,"Malvern, Rouge"
Scarborough,M1C,"Rouge Hill, Port Union, Highland Creek"
Scarborough,M1E,"Guildwood, Morningside, West Hill"
Scarborough,M1G,Woburn
Scarborough,M1H,Cedarbrae
Scarborough,M1J,Scarborough Village
Scarborough,M1K,"Kennedy Park, Ionview, East Birchmount Park"
Scarborough,M1L,"Golden Mile, Clairlea, Oakridge"
Scarborough,M1M,"Cliffside, Cliffcrest, Scarborough Village West"
Scarborough,M1N,"Birch Cliff, Cliffside West"
Scarborough,M1P,"Dorset Park, Wexford Heights, Scarborough Town Centre"
Scarborough,M1R,"Wexford, Maryvale"
Scarborough,M1S,Agincourt
Scarborough,M1T,"Clarks Corners, Tam O'Shanter, Sullivan"
Scarborough,M1V,"Milliken, Agincourt North, Steeles East, L'Amoreaux East"
Scarborough,M1W,"Steeles West, L'Amoreaux West"
Scarborough,M1X,Upper Rouge
West Toronto,M6H,"Dufferin, Dovercourt Village"
West Toronto,M6J,"Little Portugal, Trinity"
West Toronto,M6K,"Brockton, Parkdale Village, Exhibition Place"
West Toronto,M6P,"High Park, The Junction South"
West Toronto,M6R,"Parkdale, Roncesvalles"
West Toronto,M6S,"Runnymede, Swansea"
York,M6C,Humewood-Cedarvale
York,M6E,Caledonia-Fairbanks
York,M6M,"Del Ray, Mount Dennis, Keelsdale and Silverthorn"
York,M6N,"Runnymede, The Junction North"
York,M9N,Weston
